;File;pair;overlap GT;preproc GT
0;nb_1025;$invo14_$invo16_[, ]_[, ];0.0;0.0
1;nb_0;$invo25_$invo26_[, ]_[, ];1.0;0.0
2;nb_1127;$invo137_$invo139_[, ]_[, ];1.0;0.0
3;nb_1246;$invo11_$invo12_[, ]_[, ];0.0;0.0
4;nb_1046;$invo125_$invo140_[, ]_[, ];1.0;0.0
5;nb_1198;$invo244_$invo254_[, ]_[, ];0.0;1.0
6;nb_1242;$invo32_$invo34_[, ]_[, ];0.0;0.0
7;nb_1040;$invo98_$invo101_[, ]_[, ];0.0;1.0
8;nb_1003;$invo26_$invo28_[, ]_[, ];0.0;0.0
9;nb_104;$invo296_$invo297_[, ]_[, ];0.0;1.0
10;nb_1219;$invo62_$invo124_[, ]_[, $invo132];0.0;0.0
11;nb_1156;$invo389_$invo390_[, ]_[, ];0.0;1.0
12;nb_1245;$invo112_$invo113_[, ]_[, ];0.0;1.0
13;nb_1209;$invo132_$invo160_[, ]_[, ];0.0;0.0
14;nb_1214;$invo49_$invo53_[, ]_[, ];1.0;0.0
15;nb_1065;$invo27_$invo31_[, ]_[, ];0.0;0.0
16;nb_108;$invo59_$invo62_[, ]_[, ];0.0;0.0
17;nb_1202;$invo47_$invo48_[, $invo55]_[, $invo55];0.0;0.0
18;nb_102;$invo53_$invo66_[, ]_[, ];0.0;0.0
19;nb_1016;$invo38_$invo52_[, ]_[, ];0.0;0.0
20;nb_1113;$invo113_$invo114_[, ]_[, ];1.0;0.0
21;nb_1157;$invo83_$invo84_[, ]_[, ];0.0;1.0
22;nb_1204;$invo61_$invo62_[, ]_[, ];0.0;0.0
23;nb_1;$invo10_$invo11_[, ]_[, ];0.0;0.0
24;nb_1159;$invo217_$invo219_[, ]_[, ];0.0;1.0
25;nb_1182;$invo90_$invo92_[, $invo110]_[, $invo110];0.0;0.0
26;nb_124;$invo74_$invo75_[, ]_[, ];0.0;1.0
27;nb_1177;$invo28_$invo44_[, ]_[, ];0.0;0.0
28;nb_1114;$invo34_$invo45_[, ]_[, ];0.0;0.0
29;nb_1012;$invo21_$invo22_[, ]_[, ];0.0;0.0
30;nb_1251;$invo18_$invo19_[, ]_[, ];0.0;0.0
31;nb_1165;$invo26_$invo27_[, ]_[, ];0.0;1.0
32;nb_111;$invo67_$invo68_[, $invo72]_[, $invo72];0.0;0.0
33;nb_1174;$invo21_$invo24_[, ]_[, ];0.0;0.0
34;nb_1060;$invo51_$invo60_[, ]_[, ];0.0;0.0
35;nb_1224;$invo328_$invo332_[, ]_[, ];1.0;0.0
36;nb_1126;$invo10_$invo11_[, ]_[, ];1.0;0.0
37;nb_1024;$invo131_$invo138_[, ]_[, ];0.0;0.0
38;nb_1070;$invo241_$invo245_[, ]_[, ];0.0;0.0
39;nb_1221;$invo125_$invo138_[, ]_[, ];0.0;0.0
40;nb_1215;$invo27_$invo28_[, ]_[, ];0.0;1.0
41;nb_1067;$invo13_$invo16_[, ]_[, ];0.0;0.0
42;nb_103;$invo46_$invo59_[, ]_[, ];0.0;0.0
43;nb_100;$invo55_$invo69_[, ]_[, ];0.0;0.0
44;nb_1168;$invo22_$invo23_[, ]_[, ];0.0;0.0
45;nb_101;$invo53_$invo87_[, ]_[, ];0.0;0.0
46;nb_1170;$invo17_$invo18_[, ]_[, ];0.0;0.0
47;nb_1057;$invo28_$invo61_[, ]_[, ];0.0;0.0
48;nb_1063;$invo14_$invo15_[, ]_[, ];0.0;0.0
49;nb_1036;$invo118_$invo119_[, ]_[, ];1.0;0.0
50;nb_1020;$invo98_$invo99_[, ]_[, ];0.0;1.0
51;nb_1058;$invo15_$invo22_[, ]_[, ];1.0;0.0
52;nb_1044;$invo42_$invo49_[, ]_[, ];0.0;0.0
53;nb_1041;$invo80_$invo95_[, ]_[, ];0.0;1.0
54;nb_1064;$invo5_$invo6_[, ]_[, ];0.0;0.0
55;nb_1027;$invo24_$invo35_[, $invo25]_[, ];0.0;1.0
56;nb_1006;$invo78_$invo86_[, ]_[, ];0.0;0.0
57;nb_1212;$invo58_$invo64_[, ]_[, ];0.0;0.0
58;nb_1173;$invo159_$invo160_[, ]_[, ];0.0;1.0
59;nb_1175;$invo19_$invo27_[, ]_[, ];0.0;0.0
60;nb_1077;$invo27_$invo41_[, ]_[, ];0.0;1.0
61;nb_1194;$invo54_$invo62_[, ]_[, ];0.0;1.0
62;nb_1186;$invo17_$invo18_[, ]_[, ];0.0;0.0
63;nb_1244;$invo4_$invo11_[, ]_[, ];0.0;0.0
64;nb_1255;$invo17_$invo18_[, ]_[, ];0.0;0.0
65;nb_1120;$invo29_$invo30_[, ]_[, ];0.0;0.0
66;nb_112;$invo61_$invo62_[, ]_[, ];0.0;0.0
67;nb_113;$invo117_$invo119_[, ]_[, ];0.0;0.0
68;nb_1201;$invo38_$invo39_[, ]_[, ];0.0;0.0
69;nb_1199;$invo87_$invo88_[, ]_[, ];1.0;0.0
70;nb_1167;$invo109_$invo111_[, ]_[, ];0.0;0.0
71;nb_1038;$invo66_$invo67_[, ]_[, ];0.0;0.0
72;nb_1197;$invo17_$invo18_[, ]_[, ];1.0;0.0
73;nb_1253;$invo10_$invo11_[, ]_[, ];0.0;0.0
74;nb_1250;$invo8_$invo9_[, ]_[, ];0.0;0.0
75;nb_1252;$invo20_$invo21_[, ]_[, ];0.0;0.0
76;nb_1005;$invo99_$invo111_[, ]_[, ];0.0;0.0
77;nb_110;$invo18_$invo23_[, ]_[, ];0.0;0.0
78;nb_1017;$invo51_$invo64_[, ]_[, ];0.0;0.0
79;nb_1066;$invo18_$invo19_[, ]_[, ];0.0;0.0
80;nb_1225;$invo28_$invo32_[, ]_[, ];0.0;0.0
81;nb_1254;$invo22_$invo23_[, ]_[, ];0.0;0.0
82;nb_1155;$invo50_$invo63_[, ]_[, ];0.0;0.0
83;nb_1274;$invo57_$invo60_[, ]_[, ];0.0;0.0
84;nb_1276;$invo7_$invo11_[, ]_[, ];0.0;0.0
85;nb_1277;$invo13_$invo14_[, ]_[, ];0.0;0.0
86;nb_1280;$invo28_$invo29_[, ]_[, ];0.0;1.0
87;nb_1306;$invo61_$invo62_[, ]_[, ];0.0;1.0
88;nb_1307;$invo139_$invo140_[, ]_[, ];0.0;1.0
89;nb_1308;$invo42_$invo44_[, ]_[, ];0.0;1.0
90;nb_1309;$invo197_$invo199_[, ]_[, ];0.0;0.0
91;nb_1314;$invo44_$invo46_[, ]_[, ];0.0;0.0
92;nb_1315;$invo126_$invo127_[, ]_[, ];0.0;0.0
93;nb_1316;$invo158_$invo179_[, ]_[, ];0.0;0.0
94;nb_14;$invo52_$invo53_[, ]_[, ];0.0;0.0
95;nb_15;$invo107_$invo108_[, ]_[, ];0.0;0.0
96;nb_154;$invo107_$invo108_[, ]_[, ];0.0;1.0
97;nb_156;$invo222_$invo223_[, ]_[, ];0.0;0.0
98;nb_157;$invo203_$invo204_[, ]_[, ];0.0;0.0
99;nb_158;$invo105_$invo106_[, ]_[, ];1.0;0.0
100;nb_159;$invo171_$invo172_[, ]_[, ];0.0;0.0
101;nb_16;$invo60_$invo71_[, ]_[, ];0.0;0.0
102;nb_160;$invo120_$invo121_[, ]_[, ];0.0;0.0
