;File;pair;overlap GT;preproc GT
0;2021-09-05-nb_1244;$invo63_$invo64_[, ]_[, ];0;0
1;2021-09-05-nb_1244;$invo63_$invo72_[, ]_[, ];0;0
2;2021-09-07-nb_949;$invo112_$invo150_[, ]_[, ];0;0
3;2021-09-07-nb_949;$invo61_$invo62_[, ]_[, ];0;1
4;2021-09-09-nb_498;$invo17_$invo18_[, ]_[, ];0;0
5;2021-09-09-nb_498;$invo20_$invo21_[, ]_[, ];0;0
6;2021-09-15-nb_3436;$invo9_$invo10_[, ]_[, ];0;0
7;2021-09-14-nb_100;$invo5_$invo6_[, ]_[, ];0;0
8;2021-09-23-nb_2646;$invo42_$invo43_[, ]_[, ];0;1
9;2021-09-23-nb_2646;$invo42_$invo45_[, ]_[, ];0;1
10;2021-09-21-nb_1239;$invo34_$invo35_[, ]_[, ];0;0
11;2021-09-21-nb_1239;$invo34_$invo52_[, ]_[, ];0;0
12;2021-09-07-nb_4061;$invo9_$invo10_[, ]_[, ];0;0
13;2021-09-07-nb_4061;$invo9_$invo15_[, ]_[, ];1;0
14;2021-09-17-nb_1782;$invo77_$invo78_[, ]_[, ];1;0
15;2021-09-17-nb_1782;$invo77_$invo79_[, ]_[, ];1;0
16;2021-09-30-nb_195;$invo143_$invo144_[, ]_[, ];0;1
17;2021-09-30-nb_195;$invo181_$invo182_[, ]_[, ];1;1
18;2021-09-30-nb_195;$invo205_$invo220_[, ]_[, ];1;0
19;2021-09-12-nb_1942;$invo32_$invo35_[, ]_[, ];1;0
20;2021-09-12-nb_1942;$invo43_$invo44_[, ]_[, ];1;0
21;2021-09-12-nb_1942;$invo43_$invo47_[, ]_[, ];1;0
22;2021-09-01-nb_604;$invo95_$invo102_[, ]_[, ];1;0
23;2021-09-10-nb_2760;$invo36_$invo37_[, ]_[, ];0;1
24;2021-09-10-nb_2760;$invo48_$invo49_[, ]_[, ];0;1
25;2021-09-10-nb_2760;$invo53_$invo54_[, ]_[, ];0;1
26;2021-09-10-nb_322;$invo73_$invo81_[, ]_[, ];0;0
27;2021-09-22-nb_463;$invo9_$invo10_[, ]_[, ];0;0
28;2021-09-05-nb_2816;$invo20_$invo23_[, ]_[, ];0;1
29;2021-09-05-nb_2816;$invo20_$invo24_[, ]_[, ];0;1
30;2021-09-05-nb_2816;$invo30_$invo33_[, ]_[, ];0;1
31;2021-09-05-nb_2816;$invo30_$invo34_[, ]_[, ];0;1
32;2021-09-05-nb_2816;$invo38_$invo41_[, ]_[, ];0;1
33;2021-09-30-nb_3594;$invo54_$invo55_[, ]_[, ];0;1
34;2021-09-11-nb_86;$invo111_$invo112_[, ]_[, ];0;0
35;2021-09-11-nb_86;$invo111_$invo113_[, ]_[, ];1;0
36;2021-09-11-nb_86;$invo152_$invo153_[, $invo174]_[, $invo174];0;0
37;2021-09-11-nb_86;$invo152_$invo154_[, $invo174]_[, $invo174];0;0
38;2021-09-11-nb_86;$invo152_$invo153_[, $invo179]_[, $invo179];0;0
39;2021-09-11-nb_86;$invo152_$invo154_[, $invo179]_[, $invo179];0;0
40;2021-09-11-nb_86;$invo152_$invo153_[, $invo184]_[, $invo184];0;0
41;2021-09-11-nb_86;$invo152_$invo154_[, $invo184]_[, $invo184];0;0
42;2021-09-11-nb_86;$invo152_$invo153_[, $invo189]_[, $invo189];0;0
43;2021-09-11-nb_86;$invo152_$invo154_[, $invo189]_[, $invo189];0;0
44;2021-09-11-nb_86;$invo162_$invo163_[, ]_[, ];0;0
45;2021-09-11-nb_86;$invo162_$invo164_[, ]_[, ];1;0
46;2021-09-11-nb_86;$invo198_$invo199_[, ]_[, ];0;0
47;2021-09-11-nb_86;$invo39_$invo46_[, ]_[, ];0;0
48;2021-09-11-nb_86;$invo39_$invo47_[, ]_[, ];1;0
49;2021-09-11-nb_86;$invo59_$invo60_[, ]_[, ];0;0
50;2021-09-11-nb_86;$invo59_$invo61_[, ]_[, ];1;0
51;2021-09-20-nb_1322;$invo101_$invo26_[, ]_[, $invo106];0;0
52;2021-09-20-nb_1322;$invo103_$invo26_[, ]_[, $invo108];0;0
53;2021-09-20-nb_1322;$invo119_$invo123_[, ]_[, $invo131];0;0
54;2021-09-20-nb_1322;$invo120_$invo123_[, ]_[, $invo139];0;0
55;2021-09-20-nb_1322;$invo152_$invo156_[, ]_[, ];0;0
56;2021-09-20-nb_1322;$invo153_$invo157_[, ]_[, ];0;0
57;2021-09-20-nb_1322;$invo16_$invo26_[, ]_[, $invo42];0;0
58;2021-09-20-nb_1322;$invo16_$invo52_[, ]_[, ];0;0
59;2021-09-20-nb_1322;$invo182_$invo183_[, ]_[, ];0;0
60;2021-09-20-nb_1322;$invo190_$invo191_[, ]_[, ];0;0
61;2021-09-20-nb_1322;$invo55_$invo26_[, ]_[, $invo57];0;0
62;2021-09-20-nb_1322;$invo67_$invo26_[, ]_[, $invo71];0;0
63;2021-09-20-nb_1322;$invo68_$invo26_[, ]_[, $invo74];0;0
64;2021-09-20-nb_1322;$invo87_$invo26_[, ]_[, $invo89];0;0
65;2021-09-15-nb_281;$invo36_$invo37_[, $invo41]_[, $invo41];0;0
66;2021-09-05-nb_1162;$invo130_$invo131_[, ]_[, ];1;1
67;2021-09-05-nb_1162;$invo136_$invo137_[, ]_[, ];1;1
68;2021-09-05-nb_1162;$invo151_$invo152_[, ]_[, ];1;1
69;2021-09-05-nb_1162;$invo197_$invo198_[, ]_[, ];1;1
70;2021-09-09-nb_1731;$invo20_$invo21_[, ]_[, ];0;0
71;2021-09-09-nb_1731;$invo20_$invo23_[, ]_[, ];1;0
72;2021-09-05-nb_2770;$invo103_$invo104_[, ]_[, ];1;1
73;2021-09-05-nb_2770;$invo42_$invo43_[, ]_[, ];1;0
74;2021-09-05-nb_2770;$invo53_$invo54_[, ]_[, ];1;0
75;2021-09-05-nb_2770;$invo53_$invo55_[, ]_[, ];1;1
76;2021-09-05-nb_2770;$invo85_$invo86_[, ]_[, ];1;0
77;2021-09-11-nb_605;$invo21_$invo24_[, ]_[, ];0;0
78;2021-09-10-nb_1970;$invo23_$invo24_[, ]_[, ];0;0
79;2021-09-01-nb_2528;$invo38_$invo44_[, ]_[, ];1;1
80;2021-09-14-nb_65;$invo11_$invo12_[, ]_[, ];0;0
81;2021-09-20-nb_1743;$invo261_$invo262_[, ]_[, ];0;0
82;2021-09-20-nb_1743;$invo261_$invo263_[, ]_[, ];1;0
83;2021-09-20-nb_1743;$invo261_$invo276_[, ]_[, ];0;0
84;2021-09-20-nb_1743;$invo280_$invo281_[, ]_[, ];0;0
85;2021-09-20-nb_1743;$invo280_$invo282_[, ]_[, ];1;0
86;2021-09-20-nb_1743;$invo280_$invo295_[, ]_[, ];0;0
87;2021-09-20-nb_1743;$invo299_$invo300_[, ]_[, ];0;0
88;2021-09-20-nb_1743;$invo299_$invo301_[, ]_[, ];1;0
89;2021-09-20-nb_1743;$invo299_$invo314_[, ]_[, ];0;0
90;2021-09-20-nb_1743;$invo318_$invo319_[, ]_[, ];0;0
91;2021-09-20-nb_1743;$invo318_$invo320_[, ]_[, ];1;0
92;2021-09-20-nb_1743;$invo318_$invo333_[, ]_[, ];0;0
93;2021-09-20-nb_296;$invo158_$invo159_[, $invo177]_[, $invo177];0;1
94;2021-09-20-nb_296;$invo158_$invo159_[, $invo178]_[, $invo178];0;1
95;2021-09-27-nb_4381;$invo26_$invo37_[, ]_[, ];0;0
96;2021-09-07-nb_2921;$invo10_$invo11_[, ]_[, ];0;0
97;2021-09-07-nb_2921;$invo19_$invo20_[, ]_[, ];0;0
98;2021-09-07-nb_2921;$invo35_$invo36_[, ]_[, ];0;0
99;2021-09-05-nb_1630;$invo23_$invo25_[, ]_[, ];1;0
100;2021-09-05-nb_1630;$invo23_$invo29_[, ]_[, ];0;0
101;2021-09-05-nb_1630;$invo58_$invo60_[, ]_[, ];1;0
102;2021-09-05-nb_1630;$invo58_$invo64_[, ]_[, ];0;0
103;2021-09-06-nb_1417;$invo14_$invo15_[, ]_[, ];0;1
104;2021-09-06-nb_1417;$invo18_$invo19_[, ]_[, ];0;1
105;2021-09-06-nb_1417;$invo63_$invo68_[, ]_[, ];0;1
106;2021-09-06-nb_1417;$invo63_$invo82_[, ]_[, ];0;0
107;2021-09-30-nb_619;$invo103_$invo110_[, $invo129]_[, $invo129];1;0
108;2021-09-30-nb_619;$invo103_$invo110_[, $invo138]_[, $invo138];1;0
109;2021-09-30-nb_619;$invo103_$invo111_[, $invo129]_[, $invo129];0;0
110;2021-09-30-nb_619;$invo103_$invo111_[, $invo138]_[, $invo138];0;0
111;2021-09-05-nb_1633;$invo58_$invo60_[$invo113, $invo74]_[$invo113, $invo76];0;0
112;2021-09-05-nb_1633;$invo58_$invo75_[$invo113, $invo74]_[, $invo113];0;0
113;2021-09-05-nb_1633;$invo58_$invo92_[$invo113, $invo74]_[, $invo115];0;0
114;2021-09-13-nb_606;$invo103_$invo106_[, $invo111]_[, $invo112];0;0
115;2021-09-13-nb_606;$invo21_$invo24_[, ]_[, ];0;0
116;2021-09-13-nb_606;$invo47_$invo50_[, ]_[, ];0;0
117;2021-09-13-nb_606;$invo69_$invo106_[, ]_[, $invo107];0;0
118;2021-09-13-nb_606;$invo69_$invo72_[, ]_[, ];0;0
119;2021-09-12-nb_606;$invo65_$invo66_[, ]_[, ];0;0
120;2021-09-12-nb_606;$invo84_$invo85_[, ]_[, ];0;0
121;2021-09-12-nb_606;$invo91_$invo105_[, ]_[, ];0;0
122;2021-09-03-nb_2630;$invo105_$invo107_[, ]_[, ];1;0
123;2021-09-03-nb_2630;$invo83_$invo84_[, ]_[, ];0;0
124;2021-09-03-nb_2630;$invo88_$invo89_[, ]_[, ];0;0
125;2021-09-28-nb_1940;$invo7_$invo8_[, ]_[, ];0;0
126;2021-09-04-nb_1087;$invo72_$invo86_[, ]_[, ];0;0
127;2021-09-13-nb_3144;$invo126_$invo127_[, $invo168]_[, $invo168];0;0
128;2021-09-13-nb_3144;$invo126_$invo132_[, $invo168]_[, $invo168];0;0
129;2021-09-30-nb_3336;$invo26_$invo27_[, ]_[, ];1;0
130;2021-09-30-nb_3336;$invo26_$invo28_[, ]_[, ];0;1
131;2021-09-30-nb_3336;$invo35_$invo36_[, ]_[, ];1;0
132;2021-09-30-nb_3336;$invo35_$invo37_[, ]_[, ];0;1
133;2021-09-30-nb_3336;$invo46_$invo47_[, ]_[, ];1;0
134;2021-09-30-nb_3336;$invo46_$invo48_[, ]_[, ];0;1
